City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Kilindoni,TZ,79.74,broken clouds,-7.9139,39.6668,Bustani B&B
199,Meulaboh,ID,81.0,overcast clouds,4.1363,96.1285,Kost Pria
200,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
202,Venado Tuerto,AR,75.76,scattered clouds,-33.7456,-61.9688,La Bianca.
207,Puerto Carreno,CO,76.55,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
208,Nabire,ID,86.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
210,Baghmara,IN,76.77,clear sky,23.795,86.2085,Shankar tea shop
218,Trairi,BR,78.08,few clouds,-3.2778,-39.2689,janelas do mar
221,Cabo San Lucas,MX,75.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Daru,PG,86.07,overcast clouds,-9.0763,143.2092,Daru Lodge
226,Faanui,PF,79.88,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
229,Sur,OM,78.84,clear sky,22.5667,59.5289,Sur Plaza Hotel
232,Le Port,RE,78.76,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
233,Tual,ID,83.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
240,Bosaso,SO,76.51,clear sky,11.2842,49.1816,Red Sea Hotel
241,Mananjary,MG,75.54,light rain,-21.2167,48.3333,Vahiny Lodge
245,Metro,ID,81.68,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
246,Vanimo,PG,85.95,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
249,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
